S.No,District,Name of the crop,Type of Season,Area as per Season and Crop Report (in Hectare),Estimated Average Yield per (Kg/Hectare),Estimated Production (Tonnes)
1,Kancheepuram,Chillies,Rabi,224,410.445,92
2,Tiruvallur,Chillies,Rabi,491,1820.221,894
3,Cuddalore,Chillies,Rabi,436,410.445,179
4,Villupuram,Chillies,Rabi,376,410.445,154
5,Vellore,Chillies,Rabi,938,2039.727,1913
6,Tiruvannamalai,Chillies,Rabi,1057,1819,1923
7,Salem,Chillies,Rabi,484,405.618,196
8,Namakkal,Chillies,Rabi,217,410.445,89
9,Dharmapuri,Chillies,Rabi,366,435.493,159
10,Coimbatore,Chillies,Rabi,391,410.445,160
11,Erode,Chillies,Rabi,96,410.445,39
12,Tiruchirappalli,Chillies,Rabi,584,1107.717,647
13,Karur,Chillies,Rabi,365,1186.489,433
14,Perambalur,Chillies,Rabi,134,1807.757,242
15,Thanjavur,Chillies,Rabi,38,410.445,16
16,Tiruvarur,Chillies,Rabi,16,410.445,7
17,Nagapattinam,Chillies,Rabi,12,410.445,5
18,Pudukkottai,Chillies,Rabi,221,410.445,91
19,Madurai,Chillies,Rabi,348,816.342,284
20,Theni,Chillies,Rabi,417,410.445,171
21,Dindigul,Chillies,Rabi,1226,2560.654,3139
22,Ramanathapuram,Chillies,Rabi,16622,212.914,3539
23,Virudhunagar,Chillies,Rabi,1217,786.438,957
24,Sivaganga,Chillies,Rabi,3959,65.937,261
25,Tirunelveli,Chillies,Rabi,182,132.194,24
26,Thoothukudi,Chillies,Rabi,12498,136.231,1703
27,Kanniyakumari,Chillies,Rabi,1,410.445,0
28,The Nilgiris,Chillies,Rabi,3,410.445,1
29,Krishnagiri,Chillies,Rabi,674,840,566
30,Ariyalur,Chillies,Rabi,183,446.945,82
31,Tiruppur,Chillies,Rabi,344,410.445,141
Total,State Total,Chillies,Rabi,44120,410.445,18107
1,Kancheepuram,Onion,Kharif and Rabi Combined,2,9296.015,19
2,Tiruvallur,Onion,Kharif and Rabi Combined,0,0,0
3,Cuddalore,Onion,Kharif and Rabi Combined,35,9448.374,331
4,Villupuram,Onion,Kharif and Rabi Combined,194,9594.148,1861
5,Vellore,Onion,Kharif and Rabi Combined,17,9537.307,162
6,Tiruvannamalai,Onion,Kharif and Rabi Combined,21,9491.347,199
7,Salem,Onion,Kharif and Rabi Combined,435,10570.548,4598
8,Namakkal,Onion,Kharif and Rabi Combined,2632,13692.079,36038
9,Dharmapuri,Onion,Kharif and Rabi Combined,209,11355.409,2373
10,Coimbatore,Onion,Kharif and Rabi Combined,1163,12637.042,14697
11,Erode,Onion,Kharif and Rabi Combined,847,11795.673,9991
12,Tiruchirappalli,Onion,Kharif and Rabi Combined,2059,9462.615,19484
13,Karur,Onion,Kharif and Rabi Combined,241,12399.113,2988
14,Perambalur,Onion,Kharif and Rabi Combined,6736,9213.793,62064
15,Thanjavur,Onion,Kharif and Rabi Combined,56,9493.789,532
16,Tiruvarur,Onion,Kharif and Rabi Combined,0,0,0
17,Nagapattinam,Onion,Kharif and Rabi Combined,5,9296.015,46
18,Pudukkottai,Onion,Kharif and Rabi Combined,11,9378.055,94
19,Madurai,Onion,Kharif and Rabi Combined,251,8664.048,2175
20,Theni,Onion,Kharif and Rabi Combined,920,12032.568,11082
21,Dindigul,Onion,Kharif and Rabi Combined,1292,9909.21,12803
22,Ramanathapuram,Onion,Kharif and Rabi Combined,100,9296.015,930
23,Virudhunagar,Onion,Kharif and Rabi Combined,879,2162.978,1901
24,Sivaganga,Onion,Kharif and Rabi Combined,45,9350.708,421
25,Tirunelveli,Onion,Kharif and Rabi Combined,201,9797.227,1969
26,Thoothukudi,Onion,Kharif and Rabi Combined,2688,2833.723,7620
27,Kanniyakumari,Onion,Kharif and Rabi Combined,0,0,0
28,The Nilgiris,Onion,Kharif and Rabi Combined,0,0,0
29,Krishnagiri,Onion,Kharif and Rabi Combined,6,9364.381,56
30,Ariyalur,Onion,Kharif and Rabi Combined,32,9526.751,305
31,Tiruppur,Onion,Kharif and Rabi Combined,1734,11478.612,19904
Total,State Total,Onion,Kharif and Rabi Combined,22811,9409.156,214643
1,Kancheepuram,Turmeric,Kharif,0,0,0
2,Tiruvallur,Turmeric,Kharif,7,4045.031,30
